province,location,year,latinName,commonName,counts,catched,adult,pulli,not_catched
Antwerpen,Antwerpen,2013,Alopochen aegyptiacus,Nijlgans,12,NA,NA,NA,NA
Antwerpen,Antwerpen,2013,Anser albifrons,Kolgans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2013,Anser anser,Grauwe gans,29,NA,NA,NA,NA
Antwerpen,Antwerpen,2013,Anser anser forma domesticus,Soepgans,4,NA,NA,NA,NA
Antwerpen,Antwerpen,2013,Anser brachyrhynchus,Kleine rietgans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2013,Anser cygnoides forma domestica,Zwaangans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2013,Anser erythropus,Dwerggans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2013,Anser indicus,Indische gans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2013,Branta canadensis,Canadese gans,456,NA,NA,NA,NA
Antwerpen,Antwerpen,2013,Branta leucopsis,Brandgans,1,NA,NA,NA,NA
Antwerpen,Antwerpen,2013,Branta ruficollis,Roodhalsgans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2013,Chloephaga picta,Magelhaengans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2014,Alopochen aegyptiacus,Nijlgans,7,NA,NA,NA,NA
Antwerpen,Antwerpen,2014,Anser albifrons,Kolgans,1,NA,NA,NA,NA
Antwerpen,Antwerpen,2014,Anser anser,Grauwe gans,2,NA,NA,NA,NA
Antwerpen,Antwerpen,2014,Anser anser forma domesticus,Soepgans,0,69,69,0,0
Antwerpen,Antwerpen,2014,Anser brachyrhynchus,Kleine rietgans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2014,Anser cygnoides forma domestica,Zwaangans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2014,Anser erythropus,Dwerggans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2014,Anser indicus,Indische gans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2014,Branta canadensis,Canadese gans,62,538,464,74,0
Antwerpen,Antwerpen,2014,Branta leucopsis,Brandgans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2014,Branta ruficollis,Roodhalsgans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2014,Chloephaga picta,Magelhaengans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2015,Alopochen aegyptiacus,Nijlgans,13,NA,NA,NA,NA
Antwerpen,Antwerpen,2015,Anser albifrons,Kolgans,0,NA,NA,NA,NA
Antwerpen,Antwerpen,2015,Anser anser,Grauwe gans,4,NA,NA,NA,NA
